"Jahr","StatZoneCd","StatZoneLang","QuarCd","QuarLang","KreisCd","ProjStatus","ProjStatusSort","EigentumsartSort","Eigentumsart","AnzWhg"
2008,"01403","Selnaustrasse","014","City","1","Bewilligt","6702",1,"Öffentliche Hand",0
2008,"01403","Selnaustrasse","014","City","1","Bewilligt","6702",2,"Wohnbaugenossenschaften",0
2008,"01403","Selnaustrasse","014","City","1","Bewilligt","6702",3,"Übrige private Gesellschaften",0
2008,"01403","Selnaustrasse","014","City","1","Bewilligt","6702",4,"Natürliche Personen",0
2008,"01403","Selnaustrasse","014","City","1","Bewilligt","6702",5,"Im Stockwerkeigentum",0
2008,"01403","Selnaustrasse","014","City","1","Im Bau","6703",1,"Öffentliche Hand",0
2008,"01403","Selnaustrasse","014","City","1","Im Bau","6703",2,"Wohnbaugenossenschaften",0
2008,"01403","Selnaustrasse","014","City","1","Im Bau","6703",3,"Übrige private Gesellschaften",0
2008,"01403","Selnaustrasse","014","City","1","Im Bau","6703",4,"Natürliche Personen",0
2008,"01403","Selnaustrasse","014","City","1","Im Bau","6703",5,"Im Stockwerkeigentum",0
2008,"01404","Paradeplatz","014","City","1","Bewilligt","6702",1,"Öffentliche Hand",0
2008,"01404","Paradeplatz","014","City","1","Bewilligt","6702",2,"Wohnbaugenossenschaften",0
2008,"01404","Paradeplatz","014","City","1","Bewilligt","6702",3,"Übrige private Gesellschaften",0
2008,"01404","Paradeplatz","014","City","1","Bewilligt","6702",4,"Natürliche Personen",0
2008,"01404","Paradeplatz","014","City","1","Bewilligt","6702",5,"Im Stockwerkeigentum",0
2008,"01404","Paradeplatz","014","City","1","Im Bau","6703",1,"Öffentliche Hand",0
2008,"01404","Paradeplatz","014","City","1","Im Bau","6703",2,"Wohnbaugenossenschaften",0
2008,"01404","Paradeplatz","014","City","1","Im Bau","6703",3,"Übrige private Gesellschaften",0
2008,"01404","Paradeplatz","014","City","1","Im Bau","6703",4,"Natürliche Personen",0
2008,"01404","Paradeplatz","014","City","1","Im Bau","6703",5,"Im Stockwerkeigentum",0
2008,"02101","Bahnhof Wollishofen","021","Wollishofen","2","Bewilligt","6702",1,"Öffentliche Hand",0
2008,"02101","Bahnhof Wollishofen","021","Wollishofen","2","Bewilligt","6702",2,"Wohnbaugenossenschaften",0
2008,"02101","Bahnhof Wollishofen","021","Wollishofen","2","Bewilligt","6702",3,"Übrige private Gesellschaften",0
2008,"02101","Bahnhof Wollishofen","021","Wollishofen","2","Bewilligt","6702",4,"Natürliche Personen",0
2008,"02101","Bahnhof Wollishofen","021","Wollishofen","2","Bewilligt","6702",5,"Im Stockwerkeigentum",0
2008,"02101","Bahnhof Wollishofen","021","Wollishofen","2","Im Bau","6703",1,"Öffentliche Hand",0
2008,"02101","Bahnhof Wollishofen","021","Wollishofen","2","Im Bau","6703",2,"Wohnbaugenossenschaften",0
2008,"02101","Bahnhof Wollishofen","021","Wollishofen","2","Im Bau","6703",3,"Übrige private Gesellschaften",13
2008,"02101","Bahnhof Wollishofen","021","Wollishofen","2","Im Bau","6703",4,"Natürliche Personen",0
2008,"02101","Bahnhof Wollishofen","021","Wollishofen","2","Im Bau","6703",5,"Im Stockwerkeigentum",0
2008,"02102","Bellariastrasse","021","Wollishofen","2","Bewilligt","6702",1,"Öffentliche Hand",0
2008,"02102","Bellariastrasse","021","Wollishofen","2","Bewilligt","6702",2,"Wohnbaugenossenschaften",0
2008,"02102","Bellariastrasse","021","Wollishofen","2","Bewilligt","6702",3,"Übrige private Gesellschaften",0
2008,"02102","Bellariastrasse","021","Wollishofen","2","Bewilligt","6702",4,"Natürliche Personen",9
